timestamp calibVersion serialNumber ASIC_ID channel MDACCorrectionCode0_RAW MDACCorrectionCode1_RAW MDACCorrectionCode2_RAW MDACCorrectionCode3_RAW MDACCorrectionCode4_RAW MDACCorrectionCode5_RAW MDACCorrectionCode6_RAW MDACCorrectionCode7_RAW W_2ND_16_RAW W_2ND_24_RAW W_2ND_32_RAW W_2ND_64_RAW W_2ND_128_RAW W_2ND_224_RAW W_1ST_128_RAW W_1ST_256_RAW W_1ST_384_RAW W_1ST_640_RAW W_1ST_1024_RAW W_1ST_2048_RAW W_1ST_3584_RAW W_2ND_10_RAW W_2ND_6_RAW W_2ND_4_RAW W_2ND_2_RAW W_2ND_1_RAW W_2ND_0p5_RAW W_2ND_0p25_RAW MDACCorrectionCode0_DDPU MDACCorrectionCode1_DDPU MDACCorrectionCode2_DDPU MDACCorrectionCode3_DDPU MDACCorrectionCode4_DDPU MDACCorrectionCode5_DDPU MDACCorrectionCode6_DDPU MDACCorrectionCode7_DDPU SARCorrectionCode6 SARCorrectionCode7 SARCorrectionCode8 SARCorrectionCode9 SARCorrectionCode10 SARCorrectionCode11 SARCorrectionCode12 SARCorrectionCode13 SARCorrectionCode14 SARCorrectionCode15 SARCorrectionCode16 SARCorrectionCode17 SARCorrectionCode18 SARCorrectionCode19 SARCorrectionCode20
"3/9/2022 19:26:30" 1 169153 0 1 242.0319374999999 4339.5560000000005 4338.93 4338.7394375 4340.109 4339.34 4338.0566875 4336.0119374999995 15.9051875 23.66078125 31.713625000000008 63.258712499999994 126.36694125000001 220.15185999999997 127.97974374999995 256.94077124999995 385.1456149999999 641.5081937499999 1025.7614037499998 2050.09992375 3587.7776750000003 10.0 6.0 4.0 2.0 1.0 0.5 0.25 968 18326 35682 53037 70397 87755 105107 122451 23 39 62 92 123 245 490 853 496 996 1493 2486 3976 7946 13906
"3/9/2022 19:30:31" 1 169153 0 2 271.2605000000001 4367.445 4368.5291875 4368.1971875 4370.077125 4368.2379375 4367.9713125 4364.815375 16.0621875 23.891531250000003 31.891562499999996 63.25356249999998 126.76984375 220.54484374999998 129.18770999999995 259.4642124999999 388.4676412499999 647.0903462499998 1034.9439137499999 2067.5270012499996 3618.890779999999 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1085 18555 36029 53502 70982 88455 105927 123386 23 38 62 92 123 243 487 847 496 997 1493 2487 3977 7945 13906
"3/9/2022 19:49:50" 1 169153 0 3 300.4212500000001 4396.506687499999 4398.1413125 4397.2214375 4398.747 4397.341437499999 4396.868625 4394.637 15.78659375 23.16393750000001 30.76142374999999 61.25178125 122.44011749999999 213.66637624999998 123.43246875000003 247.94284375000007 371.18318750000014 618.4423125000002 988.6840000000002 1974.7740937500005 3457.0595625000014 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1202 18788 36380 53969 71564 89154 106741 124320 24 40 64 93 124 246 493 859 497 997 1493 2488 3977 7943 13906
"3/9/2022 19:53:36" 1 169153 0 4 253.96893750000004 4351.2096249999995 4351.2931874999995 4351.265 4350.9641875 4349.8184375 4349.90075 4346.7156875 15.704281250000001 23.53468249999999 30.959218750000005 61.71809375000001 124.008625 216.12153125 124.97149999999993 250.64087499999988 375.2542812499998 625.3895312499997 999.8647187499994 1998.0193124999987 3497.560656249998 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1016 18421 35826 53231 70635 88034 105434 122821 24 40 62 94 123 245 493 859 497 997 1492 2486 3975 7944 13906
"3/9/2022 19:57:55" 1 169153 0 5 261.70275000000015 4359.294875 4358.7781875 4357.3240625 4359.5863125 4356.93025 4357.8551875 4355.095125 13.018875000000001 23.698687500000013 26.756031250000007 52.95353125000001 106.16109375 185.13056250000002 87.66506249999999 175.94746874999998 263.7209375 438.7390312499999 701.5531562499999 1401.54933375 2453.5260837499995 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1047 18484 35919 53348 70787 88214 105646 123066 34 57 74 134 152 300 602 1049 497 997 1495 2487 3976 7944 13906
"3/9/2022 20:1:49" 1 169153 0 6 251.50693749999982 4349.101500000001 4347.9259375 4344.985375 4347.5550625 4343.6505 4344.8973750000005 4343.1489375 15.9134375 23.708343749999994 31.929668749999998 63.37596875000001 126.80197749999995 220.88179999999997 128.242 257.122875 385.20903125 641.4804375 1026.13415625 2050.06990625 3588.2335937499997 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1006 18402 35794 53174 70564 87939 105318 122691 23 39 62 92 124 246 491 856 497 996 1493 2486 3977 7945 13906
"3/9/2022 20:5:45" 1 169153 0 7 248.53318749999994 4347.543 4347.2241875 4347.0065625 4348.5728125000005 4348.0296875 4347.7185625 4345.088937500001 15.395374999999998 23.775156249999995 31.326702499999985 61.937812500000014 124.43296875000001 216.90387500000006 123.29295625000002 247.330575 370.32011000000006 617.0031812500001 986.6769725000001 1971.8247437500004 3450.2466675000005 10.0 6.0 4.0 2.0 1.0 0.5 0.25 994 18384 35773 53161 70556 87948 105339 122719 24 40 62 96 126 250 502 874 497 997 1493 2487 3977 7947 13906
"3/9/2022 20:10:2" 1 169153 0 8 226.97500000000014 4324.2719375 4322.2628125 4322.12925 4324.6528124999995 4322.8084375 4322.8803124999995 4320.89075 15.911656250000002 23.878450000000008 31.984718749999995 63.110218749999994 126.41709375 220.0240625 126.28831250000005 253.50234375000008 380.1262187500001 633.2161250000001 1011.7288750000002 2023.5875625000003 3541.429468750001 10.0 6.0 4.0 2.0 1.0 0.5 0.25 908 18205 35494 52783 70081 87372 104664 121947 24 39 62 94 126 248 496 864 496 995 1493 2486 3973 7946 13906
"3/9/2022 20:13:42" 2 169153 0 1 241.96962499999995 4339.278 4338.5965625 4338.543500000001 4339.7909375 4338.0573125 4337.920249999999 4335.4115 16.085250000000002 24.088468749999993 32.05421875 63.91488125 127.88974999999999 222.86422249999998 129.75527500000004 260.30276875000004 390.2366125000001 650.0753500000001 1039.2838312500003 2076.8111125000005 3634.9805562500005 10.0 6.0 4.0 2.0 1.0 0.5 0.25 968 18325 35679 53034 70393 87745 105097 122438 23 38 62 92 123 245 489 853 496 996 1493 2487 3976 7945 13906
"3/9/2022 20:17:22" 2 169153 0 2 271.11406250000005 4367.463937500001 4368.573 4368.664375 4370.372375 4368.257375 4368.237375000001 4364.760375 15.98390625 23.95625 32.01053125 63.214437499999995 127.10434375 221.41634374999995 129.94209999999995 260.73217624999995 390.7141512499999 650.2690149999999 1040.2390024999995 2077.8916012499994 3637.544808749999 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1084 18554 36029 53503 70985 88458 105931 123390 23 38 61 92 122 242 486 846 497 997 1494 2486 3977 7944 13906
